word,frequency
the,835077
of,488378
and,327804
in,291838
a,255805
to,249436
is,146825
as,103095
for,93875
by,89378
that,85421
was,83462
with,75248
id,72878
on,71143
are,61792
it,60445
from,57438
or,55835
s,53643
http,51005
be,49783
an,48919
this,47213
his,45277
which,42807
at,42577
he,41094
www,39126
not,35677
also,34881
have,31646
1,31290
title,30633
has,29758
were,29740
text,29257
one,28835
page,27808
br,27660
but,27652
category,27022
other,25831
revision,25035
contributor,24779
their,24712
timestamp,24710
2,24537
its,22998
first,22851
