token,frequency
the,1184525
",",1156415
.,988598
to,599556
of,571960
and,518902
a,512615
in,458255
"""",294465
's,227384
that,220169
for,215553
on,188172
is,185546
The,173869
was,154600
with,148907
said,141394
as,123131
at,119100
it,114160
by,111939
from,106401
be,101133
he,99226
have,98717
has,98655
his,94648
are,92705
an,81009
),74356
(,73859
not,73859
will,71214
who,68239
I,66707
had,64785
their,62570
--,61477
were,60946
they,60678
but,59601
been,57275
this,56800
more,54294
which,54293
or,53747
its,52327
would,50092
about,48479
