word,length,frequency
bababadalgharaghtakamminarronnkonnbronntonnerronntuonnthunntrovarrhounawnskawntoohoohoordenenthurnuk,100,1
germanhungarianczechpolishruthenianromaniancroatslovakserbslovene,65,1
sodiummetadiaminoparadioxyarsenobenzoemethylenesulphoxylate,59,1
llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch,58,2
hottentottensoldatententententoonstellingsterreinen,51,1
laurynhillthemiseducationoflaurynhillalbumcover,47,1
pneumonoultramicroscopicsilicovolcanoconiosis,45,4
pneumonoultramicroscopicsilicovolcanokoniosis,45,1
dodecahedronicosidodecahedrontruncated,38,1
hexdecimalglyphnamehexdecimalglyphname,38,1
hippopotomonstrosesquippedaliophobia,36,2
polyoxybenzylmethylenglycolanhydride,36,1
supercalifragilisticexpialidocious,34,4
antidisestablishmentarianistically,34,1
pseudoantidisestablishmentarianism,34,1
generateprovablyparadoxicalstring,33,2
dativecuicuicuiquibusquibusquibus,33,1
floccinaucinihilipilificastically,33,1
nnmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmn,33,1
californiaofframpwrongwaysignage,32,1
