word,frequency
the,959400
of,537026
and,376168
one,363032
in,335407
a,293344
to,285896
zero,233930
nine,219556
two,170501
is,166099
as,119329
eight,110342
for,106882
s,105076
five,102311
three,101668
was,101498
by,100971
that,99400
four,95701
six,89537
seven,88366
with,86091
on,82162
are,69572
it,66509
from,65823
or,62709
his,57425
an,56008
be,55832
this,53303
which,49648
at,49439
he,49167
not,40091
also,40010
have,36089
were,35187
has,34228
but,32179
other,29289
their,28603
its,26508
they,26061
first,25751
some,25437
had,25316
more,23807
all,23728
can,23247
most,23016
been,22940
such,22092
many,21799
who,21791
new,21229
there,20619
used,20453
after,19075
when,18739
time,18561
into,18429
these,17984
only,17603
american,17546
see,17451
may,17252
than,17127
i,16123
world,16087
would,15611
b,14783
no,14734
d,14502
however,14348
between,14308
about,14108
over,13638
states,13410
years,13314
people,13299
if,13175
war,13166
during,13129
known,13063
united,12963
called,12714
use,12697
th,12123
system,11807
often,11774
so,11611
state,11577
history,11516
will,11444
up,11197
while,11188
where,11119
