word,frequency
the,6424979
of,2729016
and,2465632
in,2171424
to,1991125
a,1790337
was,1076079
s,786208
on,768257
as,724944
for,698690
that,691087
with,649253
by,630480
is,516628
his,465308
at,460885
he,459530
it,445751
from,444574
unk,438694
were,355026
an,322071
had,293164
which,275824
be,237572
this,216841
but,211919
are,205039
first,202459
not,198767
their,194065
after,191099
one,188998
her,187190
also,184850
its,183944
they,175484
two,170678
or,167411
have,164415
who,159586
been,152442
new,151516
has,151185
she,146541
when,135951
time,132104
during,131840
would,126589
other,126019
into,123822
all,121030
i,120062
1,115965
more,114848
while,107139
over,105811
him,100079
game,98543
only,98436
later,96591
most,95649
up,95623
about,94518
three,94404
out,93582
2,92906
between,92799
there,90624
than,90575
some,85439
may,83336
film,83291
no,81435
before,80650
year,79947
made,78650
such,77538
3,76745
where,75745
000,75598
second,75430
season,74501
years,72194
world,71694
both,70673
then,70155
however,70152
war,70106
used,69817
being,69128
through,69069
them,68930
these,68778
5,68344
song,68018
against,67664
series,67555
many,66187
